V160001,V161078 - PRE: What is it that R dislikes about Republican Pres cand
301160,everything else //
301162,"swinging back and forth//and the fact that he's a wild cannon, too much mouth and not a good politician//"
301164,
301166,He's a fool and if he runs the country like he runs his businesses he will stomp the little people he doesn't care who he runs over he doesn't have any experience running the country politics I should say//he I think he is just saying what he thinks people want to hear so he can get their vote and I don't trust him either
301167,
301169,
301170,"I could not see him representing the United States//he just seems like a loose cannon, you do not know what you will get with him//"
301171,his lack of a specific plan to accomplish what he promises//his bully attitude//sometimes rude criticisms//
301173,He'sneeds to present his points better - he's antagonistic//
301176,
301184,lack of maturity - his rude behavior - no potential for leadership - no political experience -
301185,"i dont see him being fair, kind of like a bully. but thats what makes him a good businessman"
301187,he is exis racisr old views old irdeas/ //
301189,"One:  inexperience, two: his temerament.//"
301190,Not given the choices. //
301193,
301194,just not voting for him at all// he would be the last person I would vote for//he is not President material picked the most terrible people to run// they picked two people for president that they shouldnt//
301195,the ease of which he defends himself. Think he would be better off if he kept his mouth shut rather than letting media or anyone get under his skin/
301200,HE HAS 1 HORRILE ATTITUDE PROBLEM//HE ALREADY HAS TOLD PEOPLE WHAT HE THINKS OF WOMEN//HAS NO OTHER MIND THAN HIS BUSINESS MIND//HE IS A RUTHLESS SON OF A GUN//
301201,
301208,arrorgance
301211,tactlessness//some issues that are not um not in with his faith belief system
301213,".make the america grat again but I wonder if see the 60s will be de same , because about the racism and other thinks about other people//he is sexist, biggot, racist, seems he cpntradicted himself//"
301215,"That is too broad of a question,.  His policies regarding his domestic and international policies.  His lack of experience in government service and his lack of understanding of government service."
301221,
301225,
301226,
301227,
301228,he is a business man and doesnt strike me as a person who is for the people
301232,"hes a liar, Donald thinks blacks are criminals, he would like to implement check and frisk, stop and frisk//i don't really listen to Donald cause he says one thing and then another, I'd like to see his taxes, hes a billionare and he gets away with not paying taxes, he want to build this wall, causes more distention in a racial divided country//"
301234,the way he talk about the people and how he talk about sending the people back building a fence and nothing about helping with jobs and stuff really just cut people down from what I heard//
301235,His ignorance to our foreign policies and some of his ignorance on certain issues.//
301237,He seems cocky and arigant//
301238,one of is his immmigration policy
301240,"I don't trust him, not what a candidate should be expecially for presidency/Afriad if he becomes president because of his talking before he thinks/"
301242,his attitude and the way he acts during debates/
301244,HES A TWO FACED SLIMY SAY ANYTHING NON POLITICIAN THAT IS IN FACT PLAYING THE POLITICAL GAME TO SOLEY BENEFIT HIMSELF//
301245,I dont believe he's really for the people. I don't like what he stands for. I dont think he would represent America very well.// I dont think he's very compassionate towards people.
301247,ut job. he's racist and scary. he doesn't seem like he wants to win. He seems to be saying things that are so insane that I can't imagine he's a serious candidate.//He seems like a ny
301258,"strongest reason is the perception/reality tht he is not a stable candidate, his demeanor is not in line with what you would expect from a global leader, the borderline xenophbic views he das//"
301259,"To me he is very racist, im hispanic so the things he says really hits since no one is really illegal here//"
301262,"lack of communication//brash//outspoken//flaws in his life//business experience,no military experience//"
301264,
301268,He is very loud and boastrous and I don't think the president should be like that//
301271,just general his personality//his attitude// the way he conducts himself//i don't think he's a good human being//
301273,:\\racism-but feels he is good with money
301274,"he does not articulate his ideas, but he will be strong on action"
301276,"ANTI HISPANIC,DO NOT LIKE HIS WAYS AT ALL"
301278,
301280,"he's a rascist, dishonest, dangerous, deplorable. He would cooperate with Puitn"
301281,
301282,
301283,"self serving, arrogant buffun, show he will democrat one day than republican whatever suits his purposes and what ever is best for trump, hilary is worse"
301285,
301288,lack of experience//
301293,racist//bigot/liar//self centered//puffery//
301294,"Just that he tends to, I don't know how to say it...says things before he thinks through what he is saying."
301296,
301298,If he contnues with attacks cenofobicos to the people of this country that are not north american//
301302,CELBERITY
301304,Just his cockyness.  He is too cocky.//
301305,
301306,"There's a long list. I think he's ignorant, opinionated, bigoted, devisive, angry, following the Hitler script to get the nomination. I know something about how Hitler came to power. //"
301308,
301313,His demeanor//He's rude//His morality and manners//
301314,"Greed, vanity"
301316,
301317,"Sometimes his shooting off at the mouth bothers me. He is not a politican and is not polished. He has been in the limelight, this is different and will come with time. //"
301319,
301321,
301322,
301323,
301324,
301325,His mouth//
301331,Dont feel that he is qualified;
301332,Everything.//His views on immigration and just pretty much her personality in general.
301333,AS A BLACK AMERICAN HE DOES NOT STAND FOR ANYTHING THAT RESPRESENTS ME AS A BLACK AMERICAN//
301337,HE S MEGALOMAIA AND EXAMPLE OF HOW HE REACTS NEGATIVLEY AND BADLY ABOUT CRITICISM.
301338,
301342,ablitiy to fly off handle
301344,
301345,"his vulgarity, his thac of thinking before he speaks"
301346,"not a people person, not at one with people//"
301347,"can'tg vote for someone with no humility or decent character, excludes people,no substance"
301351,he I want to say as polite as possible he has so much has hate he is not going to be helping anyone// I don't know//is not what the world needs right now
301353,His demeanor. he's not presidental.//I think he's kind of a bully.//He just cares about himself not the country or the people.//
301354,speaks before he thinks
301355,I think he is unqualified. I think he has a terrible temperament.   think he regularly misconstrues the facts.  I think his previous behavior is not honorable.  He has gone through bankruptcies.  I don't like that he has been married three times.  I don't think he has the best interest of the American people at heart.  He says outrageaous things.
301356,Untrustworthy//Chauvinism//Condescending attitude//Bigotry//Racism//
301357,
301365,it the part about him that is unpresdineitla andhe doesn;t behanve the way  you expect him to and he tends to react too flippently and his personality as a business man and things operate differnclty between business and pliitys//
301366,
301367,He is an asshole.
301368,"He is not polished.//that's about it Oh, one other thing...is he might be too much for business in which the oil pipelines. He may advocate for running oil pipelines thru Alaska or areas that are very remote and that should be left alone. WE need to look at other alternative sources rather than interupt the wildlife preserve.//He is a new yorker.."
301369,
301370,just don't like him
301371,"views on immigration, affordable care health act//"
301373,"he has no respect, unprofessional//greedy and selfish//dodge a question like Obama but not nearly as well//irrational and like Hillary Clinton cannot be trusted with National Security//racist and sexist//"
301375,"su prepotencia, su poca humildad con los humanos sobre todo con los hispanos//"
301376,his mouth mostly//his anger
301377,"EVERYTHING HE DOES AND SAYS, I DON'T THINK HE CAN BE TRUSTED, HE'S TOO EMOTIONAL, HOT HEADED, HE JUST DOESN'T HAVE ANYWAY OF DEALING WITH ISSUES, HE'S TOO HOT HEADED//"
301383,I think that he cant shugg things off/ He is a hot headed. He got to settle down and be more level headed.//
301384,he is an egostatical buffoon//
301388,
301389,No quiere saber nada de los hispanos//
301391,When I hear his speeches they are disgusting to me and I see evil in him//
301393,lots of things dont think hes qualified no political experience - he a bigot and a misaugenist
301396,Yhat is he a bigot.  I believe he is sexist and has poor temperament.//
301399,"likeability and trust, social issues too radical, anti abortion//"
301402,personally do not think he is a good person - dont believe he is qualifies to be president - \
301404,he vvery tloaterian malke people do thing check balance ecomony supreme cout appointments //
301408,
301410,"THERE'S A LOT, I DON'T KNOW WHAT TO SAY, I THINK HE'S A LOOSE CANNON, I JUST CAN'T SEE HIM TAKING TO HEADS OF STATE ABOUT PROBLEMS, THE WAY HE IS, I THINK HE HAS INSULTED HALF THE POPULATION, I THINK THAT'S ABOUT IT//"
301411,
301412,"he is incompondent unqualified has not even held a scity council position, demogod, racist"
301416,he is lack of maturity -
301418,EVERYTHING//
301419,
301420,
301421,he's not scared and he has too much money. he doesn't have a filter. i don't like his mouth piece at all. i think this country will go to great war if he's elected//
301423,he hates everyone//
301429,just idoid
301433,THE MOST NEGATIVE TRAID IS DESPOSITION//
301434,"DIVISION OF PEOPLE, RACISM//"
301436,pretty much everything//I just don't like the things he says and does/it's scary to me if he is president//
301439,"inexperience, loose cannon//"
301440,
301442,
301446,deportation and building a wall
301452,He is a racist person
301454,EVERYTHING
301455,
301456,
301457,govermental inexperience/lack of integraty/no
301458,"Yes, He is not a good candidate when it comes to women. He really has a vulgar mouth and he has No respect for women.//And he doesnt know anything about government as far as i'm concerned.//That's it"
301459,"My main concern is his demeanor.  I think he's dishnest, unscrupolous, and wuld set a bad example for the rest of the world.  I also think he has showed himself to be racist and bigooted towards certain groups of people.  I think my biggest concern is he seems to be a bully.  And doesn't understand diplomacy."
301460,HE GETS ALOT OF NEGATIVE ATTENTION FROM HIS VISION AND HIS VIEW I JUST DON'T AGREE WITH//
301461,Sometimes he is a little bit out speaks himself and he just out speaks himself sometime I know he is going to have an answer to the qustions but sometimes he doesn't have all the answers so he outspeaks himself.
301462,fpringn policy
301464,he is racist//he has no respect for women/he does not care about people only money//he just not a politician he was never a mayor or councilman and now he wants to run for president and it throws me off duirng debates di not answer//he is an idiot
301465,"his personality,his status with other countries"
301467,HOW HE DISCREDIT  OR PEOPLE HOW HE TALK ABOUT OTHER CANDIDATIES ESPICALLY HIL.LIARY CLINTON
301472,"narcissist, dishonest, tells lies"
301474,Everything//
301479,"his immigrtion policy towards muslims and other ethnciities his changing mood and rhetoric using lang innaproiiate such as lying, and rigging on TV, his relationship and feeling about woman and his facial and body language is also inappropriate//"
301481,"racist, violent, aggressive, crazy//"
301482,
301483,He is not the kind of guy who should be president he is more like a clown and his tan and the model he was abusing her for beng fat and she got sick and she should return the crown he was super rude and she was beautiful and he push her moral down//
301488,I don't agree with building a wall.  It's not realistic.//I don't like how arrogant he is.
301489,"He is a buffoon.//  I don't believe he is qualified to be president, to hold publice office.  //"
301491,i think it s a publicity stunt\\
301495,
301496,
301497,
301498,
301500,"The world would be a disaster, I don't trust im as far as all world issues//How he treats women"
301501,He lies and he does npt have a good grasp of foreign policy and he's divisive in his comments//
301511,EXPLOITING WORKING CLASS FRUSTRATIONS FOR SELF GAIN//GENERAL HIPROCACY AND INCONSISTENT POLICIES
301513,"everything!//The fact that he really doesn't seem serious//like he just wanted attention//the fact that he has no experience whatsoever in government/politics, in city, state, Congress, Hous, mayor, governor, whatever, and the fact that all the other countries can't stand him - the leaders"
301514,he is inexperience and I made a false assumption that he would to learn that he didnt know// his lack of professionism
301515,:\\inexperience and unprofessionalism for the position
301516,"Nnot an hnest man; I don't know that he is familiar with the constitution. I don't think he is serius, I think the stock market will plunge; he will look out for his people; the people that are for him will not fare so well//"
301519,dishonesty//putting up a wall//not alloowing refugees into the country//vulgar//crude//
301522,"he is racist, he is a person nefasta, pathetic, his mouth only speaks hate for the humans, and he can only obtain my great disdain"
301527,he cant control his mouth
301528,Sometimes he can lose his cool sometimes. he  needs to learn how to watc that//
301530,
301533,I don't agree with any of his ideas or his thoughts or his values/ he's a bad person/
301536,He is not bad as Hillary but is nor very good//
301538,"I think particularly his stance on immigration and race relations. // He seems like a modern-day Hitler.// Genreally, his stance on civil rights, specifically racism, sexuallity, gender as well.  Also separation of church and state.// Can't think of a single policy off the top of my head that i can agree with.//  His policies range from not making sense to being outright offensive.//"
301541,vulagarity//disrespect//sexual arassment//
301544,"traumtums, political view that I so not agree with//"
301545,I think he is a business man and that is not the same as politics. When you are in business you tell other people I don't need you. In his speeches he is telling people he is against them doesn't need them. American is a melting pot. When we stop helping people here that is bad. You don't point out certain people. It makes me cry. It is upsets me. He is pointing fingers at people. He doesn't say anything about the Klu Klux plan but he wants to pick out regilious groups and minorities. They are the biggest group of terriorist I know for 60 years. That's what upsets me. It's not a reality show.//
301551,He does stupid things sometimes. he jumps ahead of himself//
301552,
301553,
301556,"Certainly, his willingness to use race as a division he makes me think of Moseleni, he can say so many lies it is disconcerting and people are willing to overlook that and people are looking for a strong man//"
301560,
301562,"Just No Filter and you know he just , he acts like a bully he needs to get up there with facts and not with insults//"
301563,"No track record, unproven//I do not want to say hotheaded."
301564,HE IS A LIAR NOT FIT TO RUN THIS COUNTRY I DO NOT FIND HIM ETHICAL I FIND HIM IRRATIONAL I AM HAVING A HARD TIME UNDERSTANDING HIS PLATFORM AND WHAT HE PLANS ON DOING I THINK HE IS TARGETING MINORITIES IN A NEGATIVE WAY AND I FEEL THAT HE IS NOT RESPECTFUL TO WOMEN AND DOES NOT VIEW THE TWO GENDERS AS EQUAL
301566,
301567,is he running a scam just to win or is he not.\\
301570,"ARROGENCE, POWER//"
301572,That he is so negative but I think that he is a hypocrite.//Name calling like he is a kid his behavior is juvenile.//I don't like his devisiveness.  Our country does not need that.He is very negative and I don't like the adage of playing people against people. If Romney were running I think I would vote for him but not Trump. //
301580,He doesn't hve experience and i don't theink he is fit//
301583,when him and his dad started there company he had a lot of discrimination issues and he does not believe he has americas best interest
301584,i believe he is totally unqualified for the position of president//
301589,"no experience, i do like hhis looks, he is cras, just says thinks off the cuff and does not think about what he is saying, he is an asshole, he is a womanizer, i don't see him sitting across from diplomats and seeing him diplomatic\\"
301590,poor attitude towards stuff he does not support and unwillingness to listen
301594,"Before he even ran for President, he liked to be called The Donand.  He used to make his wives call him The Donald and that exemplifies his overall personality//Overall he is a loose cannon//He is very immature//He has chosen a low road in terms of leadership and he just goes to people's fears and the only reason he does that is to et people to vote for him//He has a hue ego"
301596,I'm not fond of the things he says.
301598,I don't like his stand onafrican amreicans//I feel like people that wrerent born there are really a US citizen//
301601,
301602,"he not sensitive about immigration, liar, filed bankruptcy"
301603,"I don't know that he is, i don't know what th eowrd is; the most reponsible or um, has the maturity for somebody to work with a lot of people. // um. Yeah, just that he's too argumentative and um doesn't really...speaks before he thinks too much of the time. //"
301605,i dont think he has the eperience\\
301607,
301608,everything
301610,He's a little unpredictable.//
301611,"his demeaning of women racial minorities, immigration policies lack of transparency his impulsibiness lack of grace and his inabilith to relay a thought in an articulate manner without being angry or hateful or clear//"
301612,He seems  to morelike a schoolyard bully.  From what I see he has pissed off other countries.  I feel if he is elected the worst thing that can happen to tihs country.  I don't like his views on women.  I feel he is quite raciest.  He may be a good businessman but he woud be awful to run a country.// He is a pompous ass.
301617,everything about Donald Trump makes me want to vote against him/
301618,His mouth.//
301623,"He is inexperienced, frankly he is a patholitical liar, his treatment of women, hispanics, gays jewish and anyone who is a target of his attacks and frankly he frightens me.//"
301624,some of his views on anybidy who isnt him//
301628,"everything he says, he is a business man or what it takes to be a president//"
301629,
301631,
301633,
301634,
301636,"he is or comes across as somehat of a loose canyon,"
301637,
301645,VIES ON IMMIGRATION//
301648,i dont think thsat he really csres for middle class
301649,
301650,He is not a political person so childish/
301651,I think he's ruthless. I think he is ruthless. I think he is a businessman and the US is not a business. I thinbk he has no experience in internal or external policies. I think he wants to divide instead of unite and this is a country of immigrants including himself. //
301654,seems stupid//some things he sodes is uneducated
301655,the way he perceives different cultures//
301656,he needs a pr all the time//he needds to think before he speaks/he is very opinionated//he needs to listen to us all//he is bigoted
301659,He's a business man not a politician I don't think he will represent the country in a positive way. I think he is closed minded.
301661,His belittling sometimes of people//
301663,I would like to know what he stands for. He stands for one thing one day and another thing another day. He changes his mind more than a woman. I do like some of the things he says but he can not be trusted. He is not consistent. I would love to see him clean house.
301665,
301666,"A vote for Donald Trump is a vote against my best interest. Being a latino gay man I am one of those groups that he continously talks about in a very negatove way. Therefore, I would feel like I would be puttig myself in a dangerous position given that he's giving a voice to bigots across the nation.//He does not come off as a trustworthy person and I don't think he has the mental capacity or the emotional capaity to run the country.//"
301669,He is a little hot headed. \\
301670,
301672,His arrogance.//His lack of political experience.  //
301677,if he becomes the president the country will be come a big catoon and the whole worldwill make a mockery of the usa
301678,Everything that he stands for.//
301679,
301685,his lack of eexperience\\he has diarreah of the mouth just quick to react instead of thinkiing things through\\ego\\
301686,OTHER  THAN THE FACT THAT HE CAN BE A LITTTLE ABRASIVE//
301688,You're not sure what he wants to do about Social Security//
301691,personality
301692,"Well I perceive he does not have a sense of reality for a regular American. You can call it middle class American. Maybe an upper class American. But, I get a sense he is out of touch with what it's really like. The reality. And, his lack of political credentials. But that can be a good or a bad in my mind, depending on how you look at it. //"
301694,rascism
301695,
301697,He has no experience running a government agency. Hehas no experience in government. The rest world is tremblig.//Nor the temperment.
301702,His racial views. His demeanor in general--him as a person.
301705,"He's a liar.  He's unqualified, manipulative, a threat to democracy//unfit to lead the military//racist//xenophobic//misogynistic//"
301706,"He has no experience, he's brash, can't see him on a political platform with our foreign leaders/"
301707,His views on certain things having to do with race relations and among other things//
301708,His mis behavior with women nd us Mexicans and blacks and he's discriminating a lot. We dont want him to win but only Gos knows.\\
301709,"he speaks loosely without thought that can be a problem with international affairs,  some of his economic handling becausee I knoww economics better than he does//"
301710,his lack of qualifications//his inconsistency//appeals to our lowest instincts//tremendous damage to our interests abroad//
301712,"TEMPERMENTALLY UNFIT FOR OFFICE, LACK OF UNDERSTANDING FOR THE ISSUES//"
301717,I don't think he's serious. I don't think he understands what this country really needs//
301720,"I see him as a racist, the way he thinks is he does not think about the people, low income , or conditions and very disrepectableI do not like him as a President. He discriminates the Hispanics Latinos//"
301721,
301724,"gun ho attitude, says everything he thinks, being Mexican im not pleased on his views on building walls and deportation//"
301727,
301731,:\\attitude
301734,his ability to sensor himself//
301741,Pompous
301746,
301748,Lack of experience//I don't agree with alot of his policies//He's just too hot headed//I don't trust him//I think he's been running a negative campaign//
301749,I believe hi is self interested liar. I dont believe he truthfuthly represents himself when he speaks. Hes an ego maniac and morally bankrupt and a caricature of the heartless business person. I've never been so strongly divergent in terms of 2 candidates.// People talk of how politics are black and white and this is the harshest cintrast I can think of.//
301759,es because of racism. He doesn't have political experrinece. He does not respect people's religion and opinions.\\
301760,
301761,How he carries himself. Everything that comes out of his mouth and lack of experience.//
301766,"His track record and comments about women, the fact that he has filed for  bankruptcy four times.// He is a bigot. He has a serious, I am not sure of the word, but a complex of some kind. I don't like want to have him elected.//The allegations of rape against his wife.//In TIME magazine, he was asked if he could run for President and if he did he said he would run on the Republican ticket because those people are too stupid.//His position on immigrats, there is serious problems going on in Syria and we need to help. He also says he is going to build a wall in Mexico and that is assinine.// He is making racism and bigotry seem like it is acceptable under the guise of wanting to make America great again.//"
301767,
301770,
301774,"Temperment,vascillates, dont like his tactics with women and minorities, sugested policies with our allies//"
301776,
301777,Everything about him//
301778,feel he instigates ill feeling
301779,"the fact that he speaks with out thinking, he needs to learn to sit back and think, I think hes a smart man//"
301782,His pompous attitude. //
301784,Less experiance when it come to politics//
301786,"FACT THAT HE LIES ABOUT EVERYTHING, KNOWS NOTHING ABOUT THE WORLD, HES A ROBBER BARON, HES A CARNIVAL BARKER"
301787,everything he does and says\\ just don't like him
301789,I don't want to tell you
301791,He has shown discrinination against all types of people// his tax cut for the rich
301795,
301799,"It's a long list. Disengenuous, bullying tactics, uninformed, inexperienced.  That probably captures the general sense."
301801,
301802,
301803,"His mouth, he is just has not how tocontrol his mouth, has to be his way and no other way matters.//"
301804,
301805,"Bigotry, ignorance, treatment of women, immigration policy//arrogance and personality"
301807,
301809,"how much time do you have// he is an arrogant facisit, he is a bombastick narristicsst, don'y know about his intelligencew//can't deny he is intergetic, he is inconsistnt, he's not trustworthy, what's not to like"
301810,"he has no filter, its like he is big that he idd non reality TV, it is like he is still gdoing it and it is not presidential, and I think he will casue more emermy, and he might cause more harm than good if he odes not find a more middle ground, not be so bombastic\\"
301811,He seems like he has a quick fuse//
301812,"He is not educated for the position at all. Hillary is better qualified. He has never held office at Congress or Senate. Racist, sexist, talks down to women looks down on them as objects.//He didn't prepare for the debate. Not prepared for questions. Not prepared to be President. Like he wants to be the CEO."
301821,"his views on mexicans, african americans, handicapped people and lack of respect for women//his childlike behaviour and erratic temperment causes me to feel very insecure when it comes to national security//"
301828,crasy
301831,Not thinking about every comment he makes. //
301838,
301839,
301840,He is a meglomanic narcissitic sociopathic// lier he is probably pathological lier say anything to grandize himself
301843,"He's pretty, he can be a little too bold sometimes. // Sometimes you're not supposed to just keep running your mouth. //"
301844,
301846,EVERYTHING HE SAYS AND DOES//HE IS JUST WRONG//I DON'T LIKE HE IS SENDING mEXICANS BACK TO mEXICO//I DON'T LIKE HIM AT ALL//
301848,
301851,Seems kinda dumb//
301854,I think he is crazy.//
301856,just the dowmgrading that he goes to people//
301857,
301858,"he is a biggot\\he says he wants to make american great again, but he does not say how\\"
301860,"i know people say a lot of stuff that he just shoots his mouth off, but i don't pay much attention to that\\"
301862,
301863,
301865,He needs to grow up.  This sex scandal stuff is stupid//
301870,"His mouth, his attitude, his cockiness, if he keeps it up we wiill be in war. His mouth will get us in trouble.//"
301873,His treatment towars women and his issues with immigartion.\\
301875,I really don't like the way he wants to build the wall//
301876,EVERYTHING THAT COMES OUT OF HIS MOUTH ALMOST. I THINK HE WOULD BE A DISASTER AS PRESIDENT BECAUSE OF HIS STANCE ON MOST ISSUES. MY CONCERN IS THAT HIS ELECTION WOULD FURTHER DIVIDE THE COUNTRY AND EVENTUALLY DRIVE US TO WAR.//
301877,he descriminitates against mexicans
301879,"motives, general, hes strong character//"
301880,"his lack of experience in governmental matters, too narsistic"
301881,everything
301883,
301890,
301891,I don't trust him//I think he as a personal agenda rather than what's good for the country//I don't think he quite understands the needs of the people middle class and below.
301893,"I just think he's a poor candidate, he's a loose cannon, he makes promises that he cannot keep//I think he's a bigot, and not truthful at all//He won't release his income tax returns"
301894,"Just when he opens his mouth, truely!He just boggles my mind.//I just can't say enough. Yea, he scares me.Well, I think probably a big factor is I'm GaY! And He can't even say LGBT. He just acts like the letter is confusing. He doesn't know what it means.//Oh there's a lot more. He just scares me. That's all I'm goinng to say about it already."
301895,His severve unpredicability//narrow loyatyes//he seames like a callous person//he seams very ignorant//
301896,
301897,"dont think he is intelligent, dont feel he is ready for the job,he ahas a lot of hate and dont support that in him//"
301902,
301904,"I think he's not very qualified to be president and jujst the way he carries himself.  I would be embarrassed if he was representing america with the con\descending things and racist things he says about women, etc."
301906,"Leaving NATO, taking apart um Obamacare, privitizing our prison system.Comments about women's healthcare. Building a wall with Mexico and, uh, yeah...there's too many. // That's enough."
301909,
301910,Everything//Lack of experience//Tempermental//I think that he is self obsessed and an egotistical bully
301914,
301917,EVERYTIME HE OPENS HIS MOUTH HE INSULTS EVERYONE I DON'T SEE HIM UNITING ANYONE//
301918,a bit rude and says discmiatory//
301921,talk before thinks
301925,"Yes, if he reverts to his boy school-yard antics, bully school yard antics.// I'm waiting to see him grow a little bit.  He's never run for political office before so he has to learn as he goes.  I kind of feel sorry for him because he has no idea what the political process is like.  So he's learning now, but he's having to learn awfully fast.  I think he's smart enough but the temperament is the thing that bothers me the most.  And he hasn't seemed so far to have that entirely under control."
301926,"I just don't like him as a person. He's a good business mind, but to run our country, no, I don't have the confidence.//"
301930,
301932,THE AWFUL THINGS THAT HE SAYS
301938,his stand against abortion// if his stand against abortion that would make my decision
301941,"Sexual assault, appears to be a racist has no experience his temperament//"
301942,
301944,
301946,
301947,His temperment.  Hot headed.//
301948,His flippant answers and comments. //
301950,he's just really arrogant and off putting //
301953,
301955,
301956,"He is not concerned about the middle class citizen which is people like ourselves.//To me, he seems like he is all about the upper class.// I tried to listen to him in the campaign and what he said didn't make much sense to me. I watched him in both the debates and he didn't make much sense . I didn't like his plan.// Um, that's basically it. I don't want to be biased but I'm team-democrat too.//That's pretty much it.//"
301958,everything
301959,"I don't know. I think he is pretty much the opposite of Hillary Clinton and I think he is probably the most unprepared person I can think of to run for president of this country. I think he is a sexisit, I think he is descriminatory, I don't think he has the best interest of our people in mind, I don't think that he is diplomatic and would work well with other nations which would put our country at risk. I think he is running for office for his own self interest and I think that the way that he handled his business and so call charities is disgraceful speaks to the kind of person that he is.//"
301961,He is racist.\\
301967,His overall everything about him and he brings out the worst in people and he would pay their legal fees if someone punches someone at one of his rallies that was enough for me I don't even have to look into him anymore he's evil//
301968,
301969,
301970,"I kinda thing Donald Trump is a fake, really. I don't know if we can trust Donald Trump, really //"
301971,AHH..TO BE HONEST I BELIEVE HE IS WORKING FOR HILARY//
301974,
301977,"I would say his demeanor , his like the things he wants to build a wall and i do not agree with that//I don't like the way he treats women and his views about women I do not agree with//"
301980,He is stupid.
301981,lack of experience and impulsivity//
301982,
301983,"HE'S TOO IMPULSIVE, HE JUST LET'S IT RIP, LET THE STUFF FALL WHERE IT MAY, YOU HAVE TO MAKE QUICK DECISIONS BUT YOU CAN'T BE IMPULSIVE LIKE HE IS//"
301984,"he smells. The man does not think before he speaks, the negativity, just the person - he is obnoxious//"
301985,
301988,
301990,"Never served in White House for any position, dont know him that well//"
301992,"The main thing is he doesn't know what's going on in this country//And he keeps saying he's for the little people and he really isn't//  Also, he lies//"
301993,
301999,
302001,
302007,"he speaks out of term, is not a good speaker because does'nt follow his agenda as he goes//he is speaking to other political leader of other leader of other countries, that he can declares a war easily, he can create to other political leaders a backlash with his words//foregins policy is a problem for him, he is not be able efectively make decision appropiate for the other parties//I think he also alienates poor people that do not have as much money that he has//"
302009,"loose cannon, i dont trust him/he cant control his responses//to self oriented as far as i am concerned// no"
302014,he is a  jack ass//f
302016,"Not a fan of his vulgarity, you have to pick your poison.//I think he isn't polished in his verbage.  He does not think about what he says before he says it.  He is just raw and real.//"
302019,His interactions with other people is unprofessional.  He seems to be of low moral character.  and his handling of businesses he has been involved with has been unimpressive.  And his business deals he hasn't kept up with his side of things and his threatening with lawyers is a poor way of management.  //He is very agressive with other nations.  //His leadership style is authoritarian and one that I don't think is good for the united states or the world.//
302023,
302027,IDON'T LIKE HIS PERSONALITY AND I THINK HE IS ARROGANT.// HE COULD THINK BEFORE HE SHOOTS OFF HIS MOUTH.  HE IS INTO HIMSELF//
302029,he open his mouth before he engages his brain
302030,He doesn't seem like he has a whole lot of governmental background; some of his policies just don't make sense at all. //
302032,SOMETIMES HE SAYS THINGS PREMATURELY//
302033,"i don't think he could handle the military part, I don;t think he is qualified for that"
302034,most of time bad statements but no specifis changes his position more often
302037,"He's hotheaded//I'm afraid he's going to say something to some king or president overseas and kinda upset someone, you know what I mean?//"
302040,"I think H e is blouhard, he is problably a pisopath//"
302044,
302047,he is a racist a person that does not have culture and I think is not qualifed to managed the country in his interviews every time asked question does not answer the question answer something having to do nothing with question does not know about politics
302048,
302050,for the top 10 percent he is a scammer and I think his records proves it does not have our best interest at heart I wish more people could see that
302052,
302053,"At this point I think he is bat-shit crazyy.  I think he has gone off the deep end.  His defense knowledge is shallow at best, his domestic policy knowledge is shallow at best.  In addition, he does not listen to expert advice and makes decisions hap hazzardly.  His refusal to release his tax records and his attitude towards women is a deal breaker.//His attitude towards immigration is also a deal breaker.//"
302054,"i don't think she has sthe knowledge to actually run the compnay, keep us out of wars\\"
302058,He is a businessman and that is all he is.
302067,
302069,
302070,HES AN IDIOT//I DONT HAVE ENOUGH TIME
302074,
302075,lack of experience on goverment/also I think he is bad for national relations/no
302076,can't keep his promises can't control is mouth I'm afraid he would smart off and get us into war
302077,IDIOT
302078,social skills\\
302080,He is a lier he is disrespectful he panders to his crowd//he is doesn't demonstrate the characteristic of an American president//
302083,tempermeant//
302089,don't trust him
302093,
302097,"a slew of things, not experienced and doesnt know about foregin policy or anything historical and his ways towards woman and his arrogance and just him//mostly his inexperience...taxes, and its not just taxes. its morals, and the issues are not what they should be they are chidlish and not professional//"
302099,his ego//his against him lack for all humanity//
302100,Everything//
302101,he is not politicially correct in all the statements//
302103,THE WAY HE TALK AND BIG MOUTH TO ANY AND EVERYBODY//
302104,"Extremely unpresidential, Monkey in a suit/Doesn't do well to criticism/ should not be the leader of the world/Outside of his policy and he cannot compose himself in a debate/"
302105,everything
302106,Speculation of honesty.//
302115,
302117,
302119,His personality.  I feel like he's going to get us into another war.  He's got a big mouth.  I think his family will have too much influence on his decisions.//
302121,most things about him//
302122,no
302123,"he is arrogant// he's a biggerlier than Clinton, no respect for women, and I just think he is dangerous//he just scares me thats all//"
302124,he is an idiot // i think that covers it
302125,"His history his sexist history, his history of discrimination, his financial history"
302126,
302128,i dont like trump at all
302130,
302132,no discretion or self control//
302133,"don't trust him,not nice to women,would get us into trouble internationally"
302136,
302138,I DO LIKE HIS CHARACTER I THINK HE IS A BULLY AND DO NOT THINK HE CAN BE TRUSTED AT ALL.//
302142,
302143,his lack of political experience makes me nervous.//
302145,
302147,
302148,"Dishonest; narcissist; um, //"
302150,The possibility that he might start WW3.//
