V160001,V161072 - PRE: What is it that R dislikes about Democratic Pres cand
301160,she lies //
301162,"1 bengazi, also the deleted emails, and the swinging back and forth about the issues // she does not seem competant to run this country//"
301164,everything
301166,She is untrustworthy Her primary gold is to better herself not others and she has a reputation of being really mean to those she works with//The biggest one is that I dont trust her listening to her I don't believe her
301167,"I do not think she handle well as it could be done, Bengazi is one of the think// I think she took foregn money for favors//also the e-mail situation she was given a free pass by the FBI//"
301169,
301170,It seems like she is not too straighforward//She hides behind her politcal perspnality I do not know what that means//She is not very straighforward//I feel that she wold hide things from the public//
301171,seems to be untrustworthiness//long line of Clinton misdeeds//
301173,The way she handled the situation about her emails//
301176,she is a liar;//
301184,scandel - questions about scandels -
301185,"i dont have much faith in her about jump starting the economy, i dont see her has having an instrict, you have to make bold moves"
301187,secret emails the fbi investigation/ /
301189,"Her part of the email scandal, her part in Benghazi, her political views//Her gun control issues."
301190,"Her stand on gun issues for one, and basically her overall stand, I guess. //"
301193,
301194,she is not president material for leading//no
301195,"I think she has abused the office that she's had particularly destroying the email after they were supoened. I actually lost my respect for her back when her husband was president/I think she and her husband have both been disbarred from being attorneys. /She's just a career politician, I would be voting for Trum because he is not./"
301200,
301201,She is a liar.//
301208,dont think she is a good person she has horrible morals
301211,anti life//everything is pro obama for her a continuous obama adminstration
301213,the e-mail scandal and she is a politician//they take money from all people and organizations that seems suspect//
301215,
301221,
301225,
301226,"loyalty,liers,she is 2 face, she dos'not want to put a border fence ,open borders for refugees to come to USA, from islamics states, countries,clinton foundation fraud,paying themselfs out of the foundation,out of the foundation set in a 10.5 million condo//"
301227,"Everything about her.// she's dishonest. She's a criminal. Shes a globalist and she's caught on tape saying she is dreaming of open boarders. I can't stand that woman. She supports the new world . One world order with open boarders. Those are major. She's dreaming of hemispheric honors. I'M sorry the first woman running for president is actually a lying criminal.//I thnk that aqbout sums her up. The biggest thing is shes a gobalist, a criminal and a liar.//That sums up everything. You can give 500 examples of all of it but that tells them everythign they need to know . My signs were suppost to come today."
301228,"decisions about the emails, her age, ill Clinton"
301232,
301234,
301235,"She does alot of shady ways, suspicious. She makes you wonder about her if shes being honest and if she is a trustworthy person. Shes really flip floppy.//It seems like she goes along with whats popular at the time.//"
301237,The thing about her using her personnall email for government//
301238,
301240,
301242,Just all the stuff that the media protrays about her and I wouldn't want to serve in the military under her/
301244,SHE IS A POWER HUNGRY SUPERFICIAL FAKE INDIVIDUAL WHO ONLY CARES ABOUT HERSELF AND POWER AND HOW TO ADVANCE BOTH AS MUCH AS SHE CAN//
301245,
301247,She doesn't seem trustworthy to me.//
301258,"her inability to connect with the current situation in America, she doesnt seem personable, there is an amount of stoicness, makes her feel distant, makes me question her grasp of the state of america today.  If she had some of the personability that mike pence has she would be a slam dunk//"
301259,
301262,"iLLEGAL DOINGS LIKW HER EMAIL SCANDAL, MIX PUBLIC WITH PRIVATE//"
301264,"corruption,includes not telling the truth, not being honest//dishonesty and very poor ethics//"
301268,Not truthfull//Think she was responsible for the situatioon in Bengausy//
301271,shes really like her adgendas don't represent you//
301273,:\\deleted emails
301274,30 years and done nothing
301276,HER HEALTH
301278,"her dishonesty,don't like her"
301280,
301281,Shes thinks she is above the law and the rules don't appy//
301282,
301283,"she is a crook//big goverment/deficit spending/performance secretary of state/elitism /rules everybody but her / broke left white house worked senator, secretrary of state/ how does this happen/ pay for play"
301285,dishonestly/just believe she's fake
301288,I think she is truthful//
301293,shes been portrayed as a liar// the Benghazi situation// her emails//
301294,I don't think she is an honest person; I don't think she treats her staff very well. // just generally don't trust her.
301296,
301298,She doesnt support the latin population en the US or Puerto Rico
301302,LEAKS CONFERDENTISL E MAIL
301304,
301305,Just don't like her attitude/her values/everything about Hillary except Saturday night live. /Just don't like the Clintons find that they are trailer trash. I think within this whole country we could have found 2 people that would have been better than thes two/
301306,I think she's hard to relate to. // She's too much embedded in the establishment of the Democratic party. // I thought that the primary election system was rigged. //
301308,Her shadyness. Can't trust her. Her secretcy. So many secrets and deleting emails and abusing her power. \\
301313,She's dishonest and should be charged with a crime//She does not have the strength or power//Benghazi//She won't uphold Constitution//
301314,"She's a liar, Greedy, She believes she's above the law, got her wealth by unhonest means, low characther"
301316,"lack of honesty, corruption//view on any issue//"
301317,There's a lot of things that make me vote against Hillary Clinton. I beleieve her and Obama very much lied to the American peoiple about what happened in Bengazi. I beleieve that they could have and should have gotten security into Begazi to save Smith and the other people to save them. They did not have to die. They igmored them. There was neafrious dealings going on and they were trying to hide him being there and that is why they lied to the American people. Then she has the gall to lie to the family that she did not say to them it was the video and she said it wasn't when it was caught on tape and everyone saw she said that to them. And then she has this private email server in which she and Obama were emailing classified documents back and forth which she destroyed and had her staff destroy after the supeoana request and she has lied to the Amerian people. She has been under investigation by the FBI and FBI Comby and Lorretta Lynch and Bill Clinton were all in cahoots and decided not to press charges a//
301319,//just dont like her she is a crook
301321,i believe she is a liar and a cheat and not good for this country//
301322,she is corrupt
301323,
301324,i can't trust her//
301325,Just the whole emails scandals thing//
301331,Ties to Wall Street and corporations;
301332,I guess the email scandal.//
301333,UNTRUSTWORTHY IF YOU VOTE FOR HILARY YOU ARE VOTING FOR BILL//
301337,i BELIVE THAT SHE WILL BE A CONTINUATION OR AN EXPANSION OF THE OBAMA  -- NATIONAL DEBT IS OUT OF CONTROLA ND SOMETHING NEEDS TO BE DONE TO CURB THE CONTINUATION OF THE GROWTH.  I AM A FISCAL CONSERVATIVE
301338,
301342,everything
301344,I just don't think she could stand up against terrorists //
301345,she is a criminal a crook and not honest
301346,
301347,"does not admit when she's wrong, lies until she gets caught"
301351,
301353,I would say the way she handled the email servers.//Her talk with Goldman Sachs. She would say one thing to business people other things to the public.//
301354,"dishonest, has a history of crimes committed"
301355,
301356,The email decision thing//
301357,Everything//
301365,she's not to blame for anything she's done; she has a really bad attitude; the one thing that sticks in my mind s 'What dos It  matter now' and her stupid email things and her server. that maes me think it was done deliberatley to hides things and then she acts like sjhe doesn;tknow it was worng'//
301366,"Honesty//trustworthiness/Her record doesn't show shes a good leader - has nothing to do with political party, I vote on the issues"
301367,I think that she is a liar.
301368,She's a career politician. she needs to move on.//I believe that she is corrupt.//She is co-dependant to Bill Hilary's I mean bill Clinton's um how do I say that scandal with interns. People who are dependant on him. She is codependant to his inappropriate behavior while in office with employees.//30 years she hasn't done anything in office Bengazi! She lies! How embarrassing! She claims Bengazi was related to the movies which was an outright lie and her emails after she was caught.//She needs to go and that's probably all. Voting for hilary is like voting for another Bill Clinton ticket.//that will do it.
301369,everthing
301370,
301371,
301373,"lied about thousands of email. FBI did not do job correctly, she should be prosecuted//if it was me I would be put against a firing squad. cant trust a liar no matter how much they smile//"
301375,
301376,tired of clintons//
301377,
301383,Not because of the email or that she lies. I thinks she is going to be similiar to Obama. She wants to increase the minium wage.// She 's not really laying out any plans//
301384,her past dealings//
301388,
301389,
301391,
301393,she does not seem trustworthy - and some of the bills she voted for regarding mass incarceration that really affecte african americans -
301396,Her history. In its entireity.
301399,"likeability, trust//"
301402,
301404,begasi emaill deleat fbi investgation
301408,"she's a liar and second of all she let Bill get away with everything, do not believe she is qualified to be president"
301410,
301411,
301412,
301416,her dishonesty her lack of knowledge of international affairs
301418,IF THERE WAS A BETTER OPTION//
301419,Scandal of the e-mails.//Her reputation with other workers in the past.//
301420,
301421,dishonesty//
301423,all the things that are hidden
301429,
301433,SHE IS DISHONEST//
301434,
301436,she is not trust worthy/ been caugth in too many lies
301439,"national security, totally ignorant of it, wants to destroy our military//"
301440,So many things. I think she constantly struggles with telli ng the truth. I dont thonk she can hancdle the major decisions that would come her way. I dont think shes handeled or don much good in the positions she has had so far. Her corruption.//
301442,Probably the e-mail scandal maybe.
301446,everything
301452,
301454,SHE BEEN FOMD TO LIE IN MANY OCCAION ABOUT IMPORTAT THINGS A WAR HARK CAMPAIM FUND BY LARGE BANKS AND CORP
301455,I feel she is a liar
301456,"She's a lier//She wants to get rid of the coal industry and [REDACTED DETAILS], a lot of people would be without jobs, [REDACTED DETAILS]//"
301457,
301458,
301459,"On a personal level, I don't like her. That's really it."
301460,JUST WITH THE INACCURACY OF KNOWING THE DIFFERENCE BETWEEN HER PERONAL EMAIL AND CORPORATE EMAIL//
301461,
301462,her e-mail
301464,headlines made deals with enemy good and bad things pretty much any presidential election
301465,her stance on abortion
301467,
301472,
301474,
301479,"being dishonest greedy, her foundation, financially dishonest and and much too liberal against wall street, and a party to many of the problems we now have in the world both financially and militarily//"
301481,"not very frank, clear, doest say the truth//"
301482,"A lot of things.//How she seems not to tell the truth a lot./The whole Bengazi thing, that is a lot of it. Not to mention the email scandal. I think she knew exactly what she was doing.//She is a big anti gun person, too, so that is three strikes for me.// I just cant really support any of her views. She is going out there and says she is pro woman and she actually knew what her husband was doing all these years. If she is pro woman she wouldn't be covering up all the crap her husband has been doing all these years.//I dont support her tax plans either. I don't support giving all the freebies to those who don't deserve them. The middle class gets taxed the most. I don't support her views on illegal immigrants. I don't support her views on all these immigrants coming from Syria. I believe there is no way to properly vet these people. I am afraid we are going to see car bombings on our soil if these people are allowed to come here.//"
301483,
301488,"Everything to do with her e-mails.  Her wanting to raise taxes on the middle class. She plans to continue Obamacare, which will just get more and mor expensive.  I don't like the fact that she lies and continues to lie about Benghazi, etc.//"
301489,"Everything//I find her utterly dispictable. She is self-serving, an enabler of horrible behavior. She appears incapable of telling the truth.  she apparently detests the military and law enforcement.//"
301491,
301495,
301496,VIEW ON AN STECHING THE THUTH
301497,
301498,"Her views on the economy and the immigration policies, that would be the main thing.//"
301500,All her email controversy//I don't think her health is very good
301501,Bill Clinton//
301511,TOO AGGRESSIVE IN FOREIGN POLICY
301513,
301514,her baggage
301515,"opinion changes on views or stances, might flip back and forward on issues"
301516,
301519,
301522,
301527,no trust n her whatsoever in her good will towards the united states
301528,She is very untrustworthy. If I feel that way about anybody that knocks that out of my trust. She will say or do anything to please the audience. I don't find thats a good leader//
301530,
301533,Her lack of truthfulness of her past/don't feel that she puts the people herself in regards to her country/
301536,"ICorruption//incompetence//political beliefs/supreme court//lack of succes in enything she has ever done in public life//her general philosofy//her general vision, I do not like Hillary//"
301538,She's very much a defender of the status quo.// I was drawn to Bernie Sanders because he was pushing at the boundaries of our political system and what's important; and with Hillary she's more status quo.// Would like a president who is less conflict-oriented; and that's not seemingly on Hillary's agenda.//
301541,liar/theif//ran the white house once into the ground//aborthion//her stragies on how to actually run the country suck//contradicts herself//
301544,her track record about being caught in lies//
301545,
301551,everything. I don't trust her. She just lies//
301552,
301553,
301556,"she is policially, compromise herself to be politicaally safe, I feel the NAFTA CAFTA with China would hurt the US, I think that damaged this country tremenduosly that it has made wealth going to the top//"
301560,
301562,"she's a liar, things I have read on the internet, not everything is true but// I just don't trust the Clintons//"
301563,"Corruption, and distrust//self serving."
301564,SHE IS A CAREER POLITICIAL AND I WOULD HAVE LIKE TO SEEN SOME CANDIDATES WHO HAVE NOT BEEN IN THE POLITICAL WORLD AS LONG AS SHEE HAS AND SHE HAS ALREADY BEEN IN THE WHITE HOUSE AS THE FIRST LADY
301566,TOO SCANDALOUS///ABVOE THE LAW//SHE SHOULD ANSWER FOR HER CRIMES//EVERYTHING THAT SHE HAS DONE SINCE SHE WAS IN ARKANSAS//
301567,some of her policies about prison population\\
301570,"LACK OF TRUST, HER PAST HISTORY, CAUGHT HER LYING, TRYNG TO GET OUT OF IT, DISTRUST//T"
301572,
301580,
301583,
301584,sense of entitlemnt and ignore conditions in the workplace.Sense of entitlement which allows her to stretch the boundaries of acceptable practices//Her charitable foundation appears to be something that bears investigation//she used state department as a means to gaining contributions to her foundation//
301589,
301590,told lies and bengazi and emails starts her off on the wrong foot
301594,I think she is real dishonest//ANd I do not think she is very effective and she has blundered pretty much everything she has put her hands on//
301596,"She should be convicted.  She should be in prison.  I don't agree with any of her policies.  I'am against Obamacare.  She Lies.  She is crooked.  Iam for the police. I am for the military.  I've changed a lot of my views because of her.  I am for Religion.  I want to pray where I want and not be condemned for it.//She is above thew law, even with the FBI, even with our president."
301598,yes we are women but I feel she would take advantage of it being the first woman president//
301601,situation where she had noone come to help those guys in the embassy
301602,email scandal
301603,"Yeah, her stance on some issues I don't agree with. So for those issues, I probably wouldn't vote for her. //"
301605,shes not transparent or trustworthy\\
301607,
301608,
301610,"Her record; her involvement with the Clinton uh the phony uh grasping for words. Anyway, uh, it seems like there's been pay to play and um I can't trust anything she does. She doesn't do anything for America, she's out for themselves. It's been that way since the very beginning. //"
301611,I perciecve she is not as honest as I might want her to be.. there  are some trust issues//
301612,I think the whole email thing is pretty fishy and htings that have popped up badly where she has screwed over people badly.  But I don't feel we get all the facts.  But yes I have doubts.//
301617,
301618,I dont trust her. Too much controversy.//
301623,
301624,there is two sides to hillary one side she is almost to protective of her private side and her real oppions and i think thats where the whole issue of her honesty comes up because no one really has a sense of what her real feelings are
301628,
301629,"Not being able to..I guess her not being a man, not being able to...what am I trying to say here...I'm going to go with lying. That's why I wouldn't//"
301631,Her health
301633,
301634,
301636,"she hs proveh herself as a liar, even though she says she is she is not interested in the middle or lower class people except to get their vote"
301637,
301645,REGARDING THE EMAIL LEAKS AND THE POLICIES AGAINST MUSLIMS IN ACCORDANCE WITH THE EMAILS//
301648,
301649,
301650,
301651,
301654,her background//
301655,"don't really know if she will make the economy better, more jobs for people//"
301656,she was caught in lies that could have been detrimental//
301659,
301661,"A multitude of things. Play for pay, lying, corruption for the last 20 years is politics. We won't go into what they did in Arkansas. How negatively she talks about the police.//"
301663,
301665,everything/
301666,
301669,Everything. I don't like the fact that she is trying to take the second amednment away from the people. And she sent a rapist free.  //
301670,She's a liar and a cheat.//That's enough for me.
301672,Her economic policies.  Her views on abortion.  //Her dishonesty in governmental affairs.  //I don't think she will defend the Constituion the way it is written.
301677,
301678,
301679,lie
301685,her e-mail to make sure she is lawful\\too much of a poliician\\
301686,"ALL THE UNTRUTHS,//THE ISSUES WITH BENGAZI, EMAILS, //"
301688,She's been caught in lies//
301691,"been around too long,"
301692,"Well, her, uh, what would you call it? The scandal with her email. The fact that you worry about confidential information being shared where it shouldn't be shared is conerning to me. And, the fact that, I just feel like with her, we're going to get the same old, same old. That we've had with all of the past presidents. That we wont see any real change. //"
301694,rascism
301695,
301697,
301702,
301705,Not particularly inspiring//
301706,"I don't trust her/20 yrs. I was very disappointed in her and Bill Clinton. The only time I voted democrat/ I work for gov't and I just don't see how she could have gotten away with what she's gotten away with./Plain old disappointment and she still is a leader in women, but I didn't vote for Barack because he was black and I'm not going to vote for her because she's a woman."
301707,Not very trusting//
301708,
301709,"10000 things, Dishonest murtering Clinton in the 90s, she watched the people die in bengozi, they think they are above the law, not going to support a corinnation, the continued support of the Obama, the same goes for her husband, do you know how to tell if Hiliary is liing her mouth is moving, don't like the way the democratic party coronated her before any of us got to vote and I don't think that her campaign is run honestly, doesn't like how her & her husband stoled things from the White house when they left, not going to vote for her just because she is a woman, it is racist//"
301710,hard to trust and had a problem with the way she ran her campaign 4 years ago
301712,
301717,
301720,
301721,everything//lying so and so//she ought to already be in jail//the only reason shes not there is Obamo would have let them
301724,"contraversy re emails and Bengazy, all very negative in my mind, secrecy regarding her health//"
301727,"She's dishonest. She is um she used her position to gain financially. She talks out of both sides of her mouth. She doesn' t represent as a woman, as a wife as a grandmother as a college educated / woman.//No"
301731,
301734,security breaches//
301741,she is a liar
301746,she wants to take our weapons away and acts like obama she does not want anything to do with her
301748,"Her email incident, the trusting issue//I'm not 100% for all her policies//"
301749,
301759,
301760,
301761,I guess untruthfulness.//
301766,
301767,She's a crook.//I think that she bought the FBI and the Attorney general.//I wasn't happy about the Libya fiasco. When she was up in front of the committee she said it doesn't matter. i forget her exact words.//I don't think her record as a senator. She didn't doing anything for the state of New York.//Whitewater.//Travelgate.
301770,
301774,"Her decision making, her leaning on her husband and her decision making//"
301776,She sold the country out//
301777,Clinton foundation//
301778,question her honesty
301779,a lot of it is dishonesty //
301782,I don't think she's being very honest. // I think she knows more than what she's saying. //
301784,The rumor//
301786,"I FEEL SHE HAS A TENDENCY TO BE HAWKISH, FOR THE IRAQ WAR, I MARCHED AGAINST IT, ACTIVELY AGAINST IT.  I HAVE A HARD TIME WITH HER ASSOCIATION WITH THE PHARMA COMPANIES AN WALL STREET, I QUESTION HER ABILITY TO STAY OBJECTIVE."
301787,
301789,I don't ant to say - I'm sorry
301791,I dont know if I  completely agree on her take on refegees// and she has changed her opinion quiite a  few times in favor for the election// all those e-mails that everyone has been talking about
301795,"her record as seecretary of state, her views for the direction of thee cocuntry differ from mine//"
301799,
301801,
301802,her health dont trust her//
301803,"I dont like the fact that when Donald Trump says something she reacts, and she should mantein her status and dont be at the same level of Donald Trump//"
301804,"All the negatives that she did out there when she was speaker of the house,should be in jail for everything she's done//"
301805,
301807,everthing
301809,
301810,"her political lexperience, the whole Bengazzi situation, the classified emails\\"
301811,The whole email thing i guess//
301812,
301821,the liberal views on late term abortion//
301828,
301831,Corruption. Years of servixe that really nothing has changed.// National security issue with the Server.
301838,"lies cant trust her// wants to bring alot of iilegals in thei vountry to live, she wabts to build bridges in stead of walls shew ant to bring anybody in here which I dont like"
301839,she is a career politician//
301840,
301843,"Pretty much her whole political career. I don't understand how she's not in jail. // Hypocrisy. She fights for women's rights, but she is the biggest ... she attacks women too. //"
301844,
301846,
301848,
301851,she seemms like a dirty plitianan//
301854,She is a liar.//
301856,
301857,Believe that she does not intend to work for the people//she has her own agenda//
301858,hillary has changed her stnce on certain situations\\
301860,"the bengazzi thing just kilss me, she just lies every chance her gets, she just thinks she is above the law, i just can't stand her, i can't understnad why anyone would voite for her\\"
301862,Abortion.//Insurance.//I just don't like her.//
301863,"Lies about email her trust, and benganzi, she is dividing our country racial instead of bringing us together, allowing refugees without background checks to enter our nation espeicially at times with potilical warfare with Isis//"
301865,I've known her for her whole career.  You won't like what I'm going to say next.  She's a lying bitch.//That's all I got to say
301870,She repeats herself. She repeats the same thing in a different way. She wants you to think she knows what she is talking about when I dont think she really does.//
301873,
301875,"because she is a bad person too, she has events and she lied and mist up and looks her corrupted//"
301876,THERE ARE ISSUES THAT I DO NOT DISAGREE WITH BUT NOT TO MAKE ME NOT VOTE AGAINST HER.//
301877,
301879,
301880,
301881,her mails
301883,"because of all of her time in politics it does not seem that she makes good decisions, either personal, earlier she was before her time breaking the glass ceiling, whatever decission she never satified her desires, she wanted to use her own name and she gave in to and give his name, she is hungry for power, i think shes reached a point thats not hers, she wants to help hillary clinton, not the country, she will do anything to get Hillary into the Whitehouse, she was disallusioned when she did not pass the bar, shes had the opportunity to do those she talks about doing now and she not do them priviously when she had the chance, shes done nothing for the US immigration, I can not think of anything she has done beneficial so that I could say Oh that is wounderful, what has she done for the economy?, she is professing to go with Obama rule and I he is making the US less American, she cannot tell the truth, she could not even say she had Pneumonia, Bengazi, she cannot be trusted, when questioned by the FBI//"
301890,"I dont think she is honest. I am afraid of the emails that leaked, I am putting my trust in her and she can leak some infomation as President.//"
301891,
301893,"Credibility of words, the stories don't always match from day to day, but I'd have to say that's typical of all politicians"
301894,"I am trying to think of something specific.I think Bill's involvement. Like I said, I'm not particularly fond of him. But looking at her as a stand-alone person, she is traditional . If she doesn't keep up that commitment to Bernie and his agenda and what he was after. I think that would,,, we probably don't have enough time before we vote how she is going to integrate his ideals into her package, that would be a deal breaker for me,. You have to do what you are going to do.If you say what you are going to do, and that doesn't happen, we lose faith.//I think to be specific that would be the major deal breaker for me is if she starts back-paddling on that. If she gets elected andback-paddling, it's too late. It's like blowing a hole in the bottom and your sinking."
301895,I have reservations//sorces of funds//availability to the press//
301896,Being untrustworthy. //
301897,"ingeneral a distrust, //"
301902,"Everything about her, she lies//"
301904,Her economic policies and wanting to raise taxes and increase funding for some of the social things such as welfare//
301906,"The email scandal. Yeah, she just doesn't seem honest and um I was really for Bernie Sanders in this election. I wanted someone more, um, socialist I guess you could say. But I'll always just vote for whoever the Democratic candidate is. //"
301909,I want her to beat Donald Trump in this elcection and become the first Lady president//
301910,
301914,She is a liar. she should be in prison. Shei si acrimainal. She is definitely establishment//
301917,
301918,she lied//
301921,dont like free ride for everybody
301925,"Well, there's a lot.  This is my opinion.  She lied about Benghazi, she lied about the emails, she's got a terrible temper.  She throws at people, away from the camera.  And as she said at the Senate hearings when they were grilling her on Benghazi with four people killed, she said in the Senate, what difference does it make. So I think, I think she's too much a political animal.  She's thinking too much about herself.  And I think her husband is the same way.  They're the perfect political couple.  And I question whether they know what's decent or not.  That's just my opinion."
301926,If I had another option. //
301930,"i dont trust her, I dont think the full story is out, about her involment in Bengazi,and her husband Bill Clinton when he was president took property that was USA property and never returned//"
301932,
301938,"dishonesty//handling of the military/trend of her toward not being honest//not honest of her health, email, and the middle east"
301941,her dishonesty//
301942,
301944,Her immigration stance//ideas on gun laws//
301946,She's been she's done a lot of bad things even when hisband was president.\\
301947,Her stance on abortion & she thinks its okay at 36 weeks.// I don't think she is really for the kids.
301948,I think that she's very artificial; she is power hungry and I don't agree with very many of her ideas. //
301950,"ben gahzi, the email scandal, a whole bunch of other things i can't remember specifically. there is a whole list of chronological time line things that either she or her family has done //"
301953,"Benghazi, views about abortion, email deleting, she is a flat out liar and she wants to raise taxes"
301955,I dont agree with alot of her policies//
301956,
301958,
301959,
301961,
301967,I'm pro life but she isn't. That is the only reason I might vote for Donald Trump probably a number of reason if I were to look up everything. you got me on a bad day//
301968,
301969,"Just the overall, her track record between, I guess, her and her husband.//Not so much."
301970,"mostly everything pretty much she's doing right now, i dont know what to believe about the emails she got, and some of the otherthings, the refugees she wants to bring in here, we need to take more care of our people, and our veterans //"
301971,THERE IS NOTHING ABOUT HER I CAN NAME//
301974,
301977,The only reason I would not is because some people label her as a liar and I would just want ot make sure our next President is trustworthy//
301980,"I do not believe in abortion whatsoever, or gay marriage."
301981,i have mixed feelings there is an untrustworthy about i'm not sure if I am ready for a female president//
301982,She lying a bitch//She crooked//All she cares about is power. She should have divorced her husband years ago//She is dishonest. She praises the minorites just for the vote. She has this fake smile. She will stab you in the back.//
301983,"I DON'T TRUST HER, THAT'S THE BOTTOM LINE//"
301984,
301985,
301988,"tired of same old thing, promises year after year, they are never followed through//the repeal of Obamacare which is outrageously expensive, lifelong politicians wasting our money//the lies we are tol dall the time//the way they have been stealing money from socuial secuirty and financing wars with it. Then telling us there will be nothing left//"
301990,Failed policies//
301992,"I don't think she's always honest, and I think she should have been smarter to know about those emails."
301993,
301999,I don't trust her.//
302001,she's a head strong person/we need to be thinking about this country/it seems to me that she had plenty of bashing against her/Trump seems more pausible//
302007,Ithink she present herself as a tipical politician where she might say something half true because she is knowng how to cover her tracts//she is sorrounder herself with people that s always say yes to her no matter if not agree with her//
302009,"id like to see her think twice before she says some of the things that she says// she should know better// she cant be intimidated by donald trump to do things she shouldnt do, if she is intmidated that would scare  me//no"
302014,i think she is a liar and criminal// untrustworuty//
302016,She is a liar.// She has her hand in criminal activity.// I don't think she has America's best interest at heart.//
302019,She has been in government for a long time and has built connections that I think tend to show some corruption or carelessness with sensitive information.// Some of the decsions she has made in regard to relationships with other nations such as not promoting a peaceful path. And her position on the war in Iraq.//
302023,"some of her scandels, email bganzi, I dont like career politicians"
302027,
302029,dishonesty
302030,
302032,I HEARD SHE IS NOT PLEASANT PERSON TO SOME PEOPLE//
302033,i am afraid that she is female\\
302034,t take the emails seriously some confifential infomation was not taken seriouslyshe did noy
302037,She's been in there long enough-she's been in there running it since her husband was in there-he didn't do it she did it-that's what everybody is saying that she ran it instead of him//
302040,I think she is self serving narcisit like Trump and she is power hungry//
302044,"Dont like her outlook on gun control and abortion and her attitidue in general, her presence her bodylanguage//"
302047,
302048,
302050,abotion
302052,taking money from saudi arabia and middle east countries//her record
302053,"Its troubling to me that two families, namely the Bushes and the Clintons would be in charge of America for 28 years--having two families run a democracy for that long is crazy.  Also, her sort of penchant for privacy make it difficult for her to open up and relate to people and it tends to cause transperancy problems.  Not that I think she is a liar but because she is a very private person.  Her hawkish national defense policies is problematic and her cozy relationship with Wall Street is problematic.//"
302054,as long as she does not fall into barack's shoes\\
302058,I cant think of nothing off hand.
302067,The way she done in the past. I think she has done some pretty rotten stuff.
302069,
302070,THE SCANDAL THAT SHE HAD WITH THE EMAILS//
302074,"she is a career politician and she is not trustworthy she is a liar she cheats I dont trust her for security of the united states, she lied to the parents of the Bengazi guys that died in Bengnazi her emails, a server she had had, her top security emails she belongs in prison//she does not represent women well she put up with her husbands chenzagins she attacks the women she does not represent a strong female//she is greedy//30 years she has been in public office she has not helped the minority community she has only taken advantage for her own gain// she has a medical problem she lies she is ill and she is hiding it//"
302075,Idon't think she is capable of mainteining good relations with other countries/no combat experience/no
302076,everything
302077,LIER
302078,the whold e mail scandal wwith classified information\\
302080,
302083,she is involved in to many scandals and not being truthful//all the scandals lifelong scandal too much hidden stuff get away without repcursions
302089,everything
302093,"I thik she is a crook,"
302097,the emails and everything that happened across the seas
302099,prpaganda history//
302100,
302101,"theres a few, i did not believe the same things that she believes."
302103,NO//
302104,"Extremely untrust worthy/ Would not be able to handle the responsible given to her given how she handle Bengahzi/Does not like how she is running her campaign, I am a woman and I don't think that's a way to run an election/"
302105,Likability//
302106,"I just don't trust her.  I don't trust the Clintons.// the national security factor.  We watchewd the movie, 'Bengazi.'  There are a lot of things she shoulds have been held accountable for, but wasn't.//Health insurance.  She will continue to support Obamacare, and she'll be raising taxes.//"
302115,
302117,
302119,"I just don't like her, and I don't like her husband.//"
302121,
302122,goldwater republic running as democrate
302123,that she is not always truthfull//
302124,
302125,"The whole, everthing going on with email and the servers, and the missing emails//The Benghazi"
302126,Just the type of crooked individual she is. \\
302128,
302130,I think she wants to make us communists//she is just uh.. a woman//
302132,"not honest, puts her own interest ahead of the country's//"
302133,don't trust her
302136,
302138,
302142,I totally disagree with all of her political views and I think she's not be a very good leader for our country//I don't like her much at all//
302143,Her political record; she does have experience and that is good and bad; her political record is one that I dont agree with completely//
302145,//I dont like her views on abortion and dont like that she has a criminal background and is still allowed  to run for president
302147,//she is a theif and criminal and i dont like her stand on abortion
302148,untrustworthy; unresolved issues with emails. Can appear dishonest. //
302150,She got [REDACTED DETAILS] killed in Bengazi.//She comittted espoionage and fraud.//
302154,I DON'T TRUST HER//
302155,
302161,I think that she is untrustworthy.  I don't care for her morals.  And I also think that she may be extremely sick.
302164,
302166,
302167,
302169,
302171,
302172,"The corruiptio n, dishonesty, arrogance, she's not a healthy woman//she has Parkinsons Disease//"
302174,lack of integrity/inability to tell the truth/lack of cogent plans for dealing with unemployment and the federal deficit/continuation of Obama policies
302178,
302183,
302186,dishonesty over emails
302190,
302192,her voting recorder
302193,
302195,
302196,
302197,the fact that she is a woman and she might be lying//
302198,emails
302206,"the Supreme Court Justices that she would choose,I donnot agree with her immigration policy, it is too liberal, the allowing of some of the Muslim people, there is that chance that some one coming through could be a terroist, we need to protect outr poeple first, We need a good standard for vetting, I'm not against their coming , just afraid of the possibilities"
302207,
302214,She is a liar she does not tell the truth I dont like liars// no
302216,"She is a ccriminal, corrupt//"
302217,She has not to come to grip with what has happened in Bengazi.  She cannot keep up with her emails on anything. I believe she has health issues that make her ineligible.
302218,
302219,"she's been in the system for a while, htis email scandal - wish I knew shat it was about - as a state employees useing a private ser er - it was a big security breach - don't think it;s seems corrupt to me// also have heard different things about what happend to Bernie Sanders and the Dem party proabaly weren;t as aacceptiong of him as they should have been - that doesn put a good tasete in y mount. great that shes a woman but is deeply embadde din the system but not seein a lotof shcnage about how things will e dont//"
302220,can't trust her--untrustworthy//
302223,
302231,don't trust her don't like what's gping pn roght nw' makes it very differcult to choose a candidate//
302233,she is clinton and I dont like dynasties
302234,THE WHOLE BENGAZI THING MORE LIKE HER OPEN BRDER POLICY. THE WHOLE EMAIL THING.//
